id,user_id,items,total_price,status,created_at,updated_at
0576b9e2-c075-4adf-a28c-9a420df17458,52bfca2d-1e0c-4d60-85c4-06399338e7c6,"[{""id"":""1781453955453"",""name"":""Milton Thermosteel Water Bottle"",""price"":899,""details"":""SKU: QLS-0054 • ₹899.00"",""imageUrl"":""https://hwvkfsjhzjuqkqhuqtsg.supabase.co/storage/v1/object/public/product-images/Milton%20Thermosteel%20Water%20Bottle.webp"",""quantity"":1}]",899.0,processed,2026-06-14 16:19:22.24796+00,2026-06-14 21:49:26.090014+00
092ba4b1-e134-4b65-b565-b975b3e8abad,d5777910-84ac-4ac9-84a0-0819ad960378,"[{""id"":""1781414196193"",""name"":""Boost Health Drink"",""price"":255,""details"":""SKU: QLS-0027 • ₹255.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781414213592"",""name"":""Lay's India's Magic Masala Chips"",""price"":20,""details"":""SKU: QLS-0030 • ₹20.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":2},{""id"":""1781414246770"",""name"":""Lay's American Style Cream and Onion Chips"",""price"":20,""details"":""SKU: QLS-0004 • ₹20.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1}]",315,processed,2026-06-14 05:16:38.262606+00,2026-06-14 10:47:42.673+00
0a6e1105-e265-44b7-be83-655435d4665f,760f1105-bd02-4459-9a91-f39959531378,"[{""id"":""1781510895766"",""name"":""Mars Chocolate Bar"",""price"":40,""details"":""SKU: QLS-0011 • ₹40.00"",""imageUrl"":""https://hwvkfsjhzjuqkqhuqtsg.supabase.co/storage/v1/object/public/product-images/Mars%20Chocolate%20Bar.webp"",""quantity"":1},{""id"":""1781510902479"",""name"":""Cadbury Dairy Milk Roast Almond"",""price"":50,""details"":""SKU: QLS-0019 • ₹50.00"",""imageUrl"":""https://hwvkfsjhzjuqkqhuqtsg.supabase.co/storage/v1/object/public/product-images/Cadbury%20Dairy%20Milk%20Roast%20Almond.webp"",""quantity"":2},{""id"":""1781510931453"",""name"":""Cadbury Dairy Milk Crispello"",""price"":40,""details"":""SKU: QLS-0018 • ₹40.00"",""imageUrl"":""https://hwvkfsjhzjuqkqhuqtsg.supabase.co/storage/v1/object/public/product-images/Cadbury%20Dairy%20Milk%20Crispello.webp"",""quantity"":9},{""id"":""1781511703637"",""name"":""Snickers Chocolate Bar"",""price"":40,""details"":""SKU: QLS-0012 • ₹40.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":5},{""id"":""1781511713398"",""name"":""Nestle Milkybar White Chocolate"",""price"":20,""details"":""SKU: QLS-0035 • ₹20.00"",""imageUrl"":""https://hwvkfsjhzjuqkqhuqtsg.supabase.co/storage/v1/object/public/product-images/Nestle%20Milkybar%20White%20Chocolate.webp"",""quantity"":1},{""id"":""1781511728903"",""name"":""Nestle KitKat Chunky White"",""price"":70,""details"":""SKU: QLS-0032 • ₹70.00"",""imageUrl"":""https://hwvkfsjhzjuqkqhuqtsg.supabase.co/storage/v1/object/public/product-images/Nestle%20KitKat%20Chunky%20White.webp"",""quantity"":1}]",790.0,processed,2026-06-15 08:08:17.614944+00,2026-06-15 14:03:05.576039+00
15b18406-218c-4a20-9b67-3477e7d98644,760f1105-bd02-4459-9a91-f39959531378,"[{""id"":""1781453481528"",""name"":""Lay's American Style Cream and Onion Chips"",""price"":20,""details"":""SKU: QLS-0004 • ₹20.00"",""quantity"":2},{""id"":""1781453511856"",""name"":""Boost Health Drink"",""price"":255,""details"":""SKU: QLS-0027 • ₹255.00"",""quantity"":1}]",295,processed,2026-06-03 10:00:00+00,2026-06-03 10:30:00+00
184c95f2-9526-4bd5-b897-9c24ab1139eb,3ebf9db8-69ab-4661-95b5-d0e2a6e10389,"[{""id"":""1781803917560"",""name"":""Lay's American Style Cream and Onion Chips"",""price"":20,""details"":""SKU: QLS-0004 • ₹20.00"",""imageUrl"":""https://hwvkfsjhzjuqkqhuqtsg.supabase.co/storage/v1/object/public/product-images/Lay's%20American%20Style%20Cream%20and%20Onion%20Chips.webp"",""quantity"":1},{""id"":""1781803935536"",""name"":""Nestle KitKat Chunky White"",""price"":70,""details"":""SKU: QLS-0032 • ₹70.00"",""imageUrl"":""https://hwvkfsjhzjuqkqhuqtsg.supabase.co/storage/v1/object/public/product-images/Nestle%20KitKat%20Chunky%20White.webp"",""quantity"":2},{""id"":""1781807407093"",""name"":""Boost Health Drink"",""price"":255,""details"":""SKU: QLS-0027 • ₹255.00"",""imageUrl"":""https://hwvkfsjhzjuqkqhuqtsg.supabase.co/storage/v1/object/public/product-images/Boost%20Health%20Drink.webp"",""quantity"":1}]",415.0,processed,2026-06-18 17:03:52.896566+00,2026-06-19 00:02:18.576558+00
1f544fb1-b03d-4244-8937-a2f39643e9f5,c629cd54-64b7-4f07-bd21-68f39d86892e,"[{""id"":""QLS-0012"",""name"":""Snickers Chocolate Bar"",""price"":40,""details"":""Added by Qless Assistant"",""imageUrl"":"""",""quantity"":3},{""id"":""QLS-0032"",""name"":""Nestle KitKat Chunky White"",""price"":70,""details"":""Added by Qless Assistant"",""imageUrl"":"""",""quantity"":1},{""id"":""QLS-0041"",""name"":""Gold Winner Refined Sunflower Oil"",""price"":180,""details"":""Recipe Ingredient: 2 tablespoons"",""imageUrl"":"""",""quantity"":1}]",370,processed,2026-06-20 10:51:39.589485+00,2026-06-20 16:34:41.697+00
25f864c8-a8a0-489b-bd31-ad26f6ac23ae,d5777910-84ac-4ac9-84a0-0819ad960378,"[{""id"":""1781809204672"",""name"":""Softer Bar Chocolate Bar"",""price"":30,""details"":""SKU: QLS-0013 • ₹30.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""recipe_I want to make biriyani_507496942"",""name"":""Basmati Rice"",""price"":50,""details"":""Recipe Ingredient: 1 cup"",""imageUrl"":"""",""quantity"":2},{""id"":""recipe_I want to make biriyani_842256811"",""name"":""Oil"",""price"":50,""details"":""Recipe Ingredient: 2 tablespoons"",""imageUrl"":"""",""quantity"":2},{""id"":""recipe_I want to make biriyani_1018840227"",""name"":""Onion"",""price"":50,""details"":""Recipe Ingredient: 1"",""imageUrl"":"""",""quantity"":2},{""id"":""recipe_I want to make biriyani_91304557"",""name"":""Garlic"",""price"":50,""details"":""Recipe Ingredient: 2"",""imageUrl"":"""",""quantity"":2},{""id"":""recipe_I want to make biriyani_155323073"",""name"":""Ginger"",""price"":50,""details"":""Recipe Ingredient: 1"",""imageUrl"":"""",""quantity"":2},{""id"":""recipe_I want to make biriyani_1028178724"",""name"":""Mixed Vegetables"",""price"":50,""details"":""Recipe Ingredient: 1 cup"",""imageUrl"":"""",""quantity"":2},{""id"":""recipe_I want to make biriyani_1003798060"",""name"":""Chicken or Mutton"",""price"":50,""details"":""Recipe Ingredient: 1 cup"",""imageUrl"":"""",""quantity"":2},{""id"":""recipe_I want to make biriyani_362201872"",""name"":""Turmeric Powder"",""price"":50,""details"":""Recipe Ingredient: 1 teaspoon"",""imageUrl"":"""",""quantity"":2},{""id"":""recipe_I want to make biriyani_182840630"",""name"":""Red Chili Powder"",""price"":50,""details"":""Recipe Ingredient: 1 teaspoon"",""imageUrl"":"""",""quantity"":2},{""id"":""recipe_I want to make biriyani_965601908"",""name"":""Garam Masala Powder"",""price"":50,""details"":""Recipe Ingredient: 1 teaspoon"",""imageUrl"":"""",""quantity"":2},{""id"":""recipe_I want to make biriyani_805524447"",""name"":""Salt"",""price"":50,""details"":""Recipe Ingredient: to taste"",""imageUrl"":"""",""quantity"":2},{""id"":""recipe_I want to make biriyani_636719268"",""name"":""Coriander Leaves"",""price"":50,""details"":""Recipe Ingredient: "",""imageUrl"":"""",""quantity"":2}]",1230.0,processed,2026-06-18 19:00:09.749942+00,2026-06-19 10:26:22.77791+00
26418162-e9f8-499a-8cb7-fb96456c514a,c629cd54-64b7-4f07-bd21-68f39d86892e,"[{""id"":""1781619336547"",""name"":""Softer Bar Chocolate Bar"",""price"":30,""details"":""SKU: QLS-0013 • ₹30.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":2},{""id"":""maggi_chicken_noodles"",""name"":""Maggi Chicken Noodles"",""price"":0,""details"":""2.00 packs"",""imageUrl"":"""",""quantity"":1},{""id"":""aachi_ginger_garlic_paste"",""name"":""Aachi Ginger Garlic Paste"",""price"":0,""details"":""1.00 tsp"",""imageUrl"":"""",""quantity"":1},{""id"":""amul_gold_standardised_milk"",""name"":""Amul Gold Standardised Milk"",""price"":0,""details"":""0.50 cup"",""imageUrl"":"""",""quantity"":3},{""id"":""veeba_sweet_chilli_hot_sauce"",""name"":""Veeba Sweet Chilli Hot Sauce"",""price"":0,""details"":""2.00 tbsp"",""imageUrl"":"""",""quantity"":1},{""id"":""lay's_american_style_cream_and_onion_chips"",""name"":""Lay's American Style Cream and Onion Chips"",""price"":0,""details"":""1.00 pack"",""imageUrl"":"""",""quantity"":2},{""id"":""cadbury_dairy_milk_chocolate"",""name"":""Cadbury Dairy Milk Chocolate"",""price"":0,""details"":""1.00 bar"",""imageUrl"":"""",""quantity"":2}]",60,processed,2026-06-16 14:15:40.560668+00,2026-06-20 15:37:42.302+00
2a7b4a2d-4a30-46e5-a51c-bd205a8f4f5c,0aa6e91f-6199-4628-91d1-8b0cff62865a,"[{""id"":""1781439384761"",""name"":""Lay's India's Magic Masala Chips"",""price"":20,""details"":""SKU: QLS-0030 • ₹20.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781439435000"",""name"":""Cadbury Fuse Chocolate Bar"",""price"":40,""details"":""SKU: QLS-0022 • ₹40.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":2},{""id"":""1781440352105"",""name"":""Boost Health Drink"",""price"":255,""details"":""SKU: QLS-0027 • ₹255.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781440417899"",""name"":""Softer Bar Chocolate Bar"",""price"":30,""details"":""SKU: QLS-0013 • ₹30.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781440954667"",""name"":""Cadbury Dairy Milk Roast Almond"",""price"":50,""details"":""SKU: QLS-0019 • ₹50.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781440985820"",""name"":""Cheetos Cheez Puffs"",""price"":20,""details"":""SKU: QLS-0009 • ₹20.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781441134912"",""name"":""Geki Hot and Spicy Korean Kimchi Noodles"",""price"":50,""details"":""SKU: QLS-0028 • ₹50.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781441197531"",""name"":""Godrej Selfie Shampoo Hair Colour"",""price"":30,""details"":""SKU: QLS-0045 • ₹30.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781441362657"",""name"":""Harpic Flushmatic Citrus Toilet Cleaner"",""price"":99,""details"":""SKU: QLS-0021 • ₹99.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781441631466"",""name"":""Kellogg's Chocos Crunchy Bites Coco Caramel"",""price"":35,""details"":""SKU: QLS-0014 • ₹35.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781441670834"",""name"":""Kellogg's Corn Flakes Original"",""price"":195,""details"":""SKU: QLS-0016 • ₹195.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781441689728"",""name"":""Kellogg's Multigrain Chocos"",""price"":210,""details"":""SKU: QLS-0037 • ₹210.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781441796865"",""name"":""Kurkure Playz Puffcorn Yummy Cheese"",""price"":20,""details"":""SKU: QLS-0040 • ₹20.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781441813215"",""name"":""Lay's American Style Cream and Onion Chips"",""price"":20,""details"":""SKU: QLS-0004 • ₹20.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781441839123"",""name"":""Lay's Spanish Tomato Tango Chips"",""price"":20,""details"":""SKU: QLS-0047 • ₹20.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781441851406"",""name"":""Lizol Disinfectant Surface Cleaner"",""price"":220,""details"":""SKU: QLS-0020 • ₹220.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781441862261"",""name"":""Maggi Chicken Noodles"",""price"":15,""details"":""SKU: QLS-0010 • ₹15.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781441875574"",""name"":""Maggi Hot and Sweet Tomato Chilli Sauce"",""price"":170,""details"":""SKU: QLS-0029 • ₹170.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781441933023"",""name"":""Maggi Rich Tomato Ketchup"",""price"":155,""details"":""SKU: QLS-0042 • ₹155.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781442044022"",""name"":""Mars Chocolate Bar"",""price"":40,""details"":""SKU: QLS-0011 • ₹40.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781442350816"",""name"":""Nestle Milkybar White Chocolate"",""price"":20,""details"":""SKU: QLS-0035 • ₹20.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781442400686"",""name"":""Quaker Oats"",""price"":195,""details"":""SKU: QLS-0038 • ₹195.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1},{""id"":""1781442413997"",""name"":""Snickers Almond Chocolate Bar"",""price"":50,""details"":""SKU: QLS-0003 • ₹50.00"",""imageUrl"":""https://images.unsplash.com/photo-1542838132-92c53300491e?q=80&w=200&auto=format&fit=crop"",""quantity"":1}]",1999.0,processed,2026-06-14 12:16:28.064105+00,2026-06-14 22:50:47.610447+00
3b0d0d2f-1705-4e03-8010-9605955022fd,d5777910-84ac-4ac9-84a0-0819ad960378,"[{""id"":""1781636144311"",""name"":""Nestle KitKat Chunky White"",""price"":70,""details"":""SKU: QLS-0032 • ₹70.00"",""imageUrl"":""https://hwvkfsjhzjuqkqhuqtsg.supabase.co/storage/v1/object/public/product-images/Nestle%20KitKat%20Chunky%20White.webp"",""quantity"":1},{""id"":""1781636188649"",""name"":""Boost Health Drink"",""price"":255,""details"":""SKU: QLS-0027 • ₹255.00"",""imageUrl"":""https://hwvkfsjhzjuqkqhuqtsg.supabase.co/storage/v1/object/public/product-images/Boost%20Health%20Drink.webp"",""quantity"":4}]",1090,processed,2026-06-16 18:55:50.788732+00,2026-06-17 23:04:05.13+00
